Place,Benasque,Cerler,Ancils,Baños de Benasque,Hospital de Benasque,Eriste
Benasque,,1.4166666666666667,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333
Cerler,1.4166666666666667,,1.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
Ancils,0.75,1.5,,0.3333333333333333,0.3333333333333333,0.3333333333333333
Baños de Benasque,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,
Hospital de Benasque,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,
Eriste,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,
