iteracion,valor_coste
0,21688374.666666664
1,86690529.33333333
2,42500846.666666664
3,31215474.0
4,42492100.666666664
5,13889692.0
6,42488870.666666664
7,55499509.33333333
8,55496608.666666664
9,55487366.666666664
10,21687291.333333332
11,42486874.666666664
12,86688945.99999999
13,55496092.666666664
14,31219870.666666668
15,55490696.0
16,21686727.999999996
17,42494021.33333333
18,55488783.33333333
19,21688608.666666664
20,42485204.0
21,55487029.33333333
22,42492291.33333333
23,42497025.33333333
24,55495084.666666664
25,21682136.666666664
26,42496946.0
27,42490529.33333333
28,13884390.666666666
29,21687719.999999996
30,55491513.33333333
31,31227267.333333332
32,70223458.0
33,31222862.666666668
34,31219878.666666668
35,104890787.33333333
36,7817720.0
37,55490537.33333333
38,42484624.666666664
39,55481874.666666664
40,13881807.333333332
41,42491525.33333333
42,21681727.999999996
43,21691878.666666664
44,70224291.33333333
45,42479462.0
46,42497942.0
47,21694783.333333332
48,21689152.666666664
49,42497783.33333333
50,42494771.33333333
51,31227501.333333332
52,31220283.333333332
53,42493374.666666664
54,42490041.33333333
55,31224874.666666668
56,42491279.33333333
57,13894120.666666666
58,13877152.666666666
59,55491596.666666664
60,124827168.0
61,31218962.0
62,70228430.0
63,21694699.999999996
64,55484854.666666664
65,55491775.33333333
66,42487704.0
67,13885128.666666666
68,31227378.666666668
69,55488454.0
70,55483946.0
71,42484700.0
72,42490021.33333333
73,55492450.0
74,21698949.999999996
75,42490291.33333333
76,21695533.333333332
77,70227116.66666667
78,13890466.0
79,42487874.666666664
80,21693045.333333332
81,31225854.666666668
82,86699267.33333333
83,42491950.0
84,55486136.666666664
85,42485204.0
86,124824946.0
87,21694299.333333332
88,42495275.33333333
89,31218220.0
90,55494271.33333333
91,31218295.333333332
92,70230116.66666667
93,55492271.33333333
94,3482894.6666666665
95,42495700.0
96,21688061.333333332
97,42492942.0
98,42493275.33333333
99,21693557.333333332
100,70225608.66666667
101,42493430.0
102,70228767.33333333
103,31231096.666666668
104,70226112.66666667
105,21694136.666666664
106,31222112.666666668
107,31221771.333333332
108,70217962.0
109,42485362.666666664
110,42486366.666666664
111,3481228.0
112,86690529.33333333
113,42501513.33333333
114,21699009.333333332
115,42492100.666666664
116,31223354.666666668
117,31226779.333333332
118,55499509.33333333
119,70228354.66666667
120,55486779.33333333
121,31226954.0
122,31224291.333333332
123,55487200.0
124,31227100.666666668
125,31219870.666666668
126,55492196.0
127,31219132.666666668
128,55491104.666666664
129,55489116.666666664
130,21688608.666666664
131,42487378.666666664
132,55490104.666666664
133,42492291.33333333
134,42497354.666666664
135,55499584.666666664
136,31221533.333333332
137,42499029.33333333
138,55485716.0
139,55493458.0
140,42488708.0
141,31223386.666666668
142,31228779.333333332
143,31220033.333333332
144,31223787.333333332
145,31224033.333333332
146,104890787.33333333
147,13881482.0
148,31221041.333333332
149,31219783.333333332
150,21684453.999999996
151,70222541.33333333
152,42491525.33333333
153,55495775.33333333
154,21689882.666666664
155,55494775.33333333
156,55484696.0
157,55494946.0
158,70233263.33333333
159,31225220.0
160,21696541.333333332
161,31223267.333333332
162,42489192.0
163,31220283.333333332
164,31223470.0
165,55489866.666666664
166,21690195.999999996
167,31218878.666666668
168,13894120.666666666
169,21679553.333333332
170,55492422.0
171,31225616.666666668
172,31220791.333333332
173,21693203.999999996
174,21686795.333333332
175,55492255.33333333
176,31225200.0
177,42487704.0
178,13885128.666666666
179,31227795.333333332
180,42496267.33333333
181,86692191.99999999
182,42484700.0
183,86686041.33333333
184,70227934.0
185,21694453.999999996
186,42490128.666666664
187,21695533.333333332
188,31227279.333333332
189,55492021.33333333
190,42493120.666666664
191,86687941.99999999
192,42497850.666666664
193,70229438.0
194,42491950.0
195,55492842.666666664
196,42485204.0
197,86690608.66666666
198,42493438.0
199,42491454.0
200,31225763.333333332
201,55494271.33333333
202,31219962.0
203,31224783.333333332
204,55489966.0
205,21688374.666666664
206,42495112.666666664
207,21686569.333333332
208,31219878.666666668
209,55487029.33333333
210,42493287.33333333
211,70225358.66666667
212,70216700.0
213,86690854.66666666
214,31218537.333333332
215,70226112.66666667
216,13897616.666666666
217,31222112.666666668
218,55495350.666666664
219,70217962.0
220,31222545.333333332
221,42490533.33333333
222,21685307.333333332
223,86695616.66666666
224,42491350.666666664
225,21694033.333333332
226,55494208.0
227,13889692.0
228,31226779.333333332
229,55499509.33333333
230,42493537.33333333
231,55486779.33333333
232,104894588.66666666
233,31215886.666666668
234,42484366.666666664
235,31218045.333333332
236,42485370.666666664
237,42485041.33333333
238,21688886.666666664
239,70231930.0
240,55488783.33333333
241,21686378.666666664
242,21686465.999999996
243,55489604.666666664
244,31222458.0
245,42491616.666666664
246,42491942.0
247,21684049.333333332
248,42496946.0
249,31221870.666666668
250,13881053.333333332
251,21685219.999999996
252,146493279.3333333
253,31232092.666666668
254,31223791.333333332
255,31222700.0
256,31219878.666666668
257,104890787.33333333
258,31224529.333333332
259,42487374.666666664
260,31219783.333333332
261,55482620.666666664
262,31218966.0
263,42491525.33333333
264,31216886.666666668
265,104902993.33333333
266,55493279.33333333
267,42479462.0
268,31232021.333333332
269,55494600.666666664
270,13890882.666666666
271,55485704.0
272,31219616.666666668
273,42496350.666666664
274,31223128.666666668
275,42486287.33333333
276,21687799.333333332
277,86692509.33333333
278,42494029.33333333
279,13893791.333333332
280,146497017.3333333
281,55493608.666666664
