iteracion,valor_coste
0,270560.0
1,30393.0
2,480602.0
3,270464.0
4,750689.6666666666
5,1470848.0
6,480825.58680555556
7,120484.66666666667
8,120610.0
9,1080877.3333333333
10,608425.0868055555
11,120697.33333333333
12,30666.58680555556
13,480485.3333333333
14,751011.0
15,270589.0
16,120531.0
17,30401.333333333332
18,270655.6666666667
19,480717.2534722222
20,1080952.3333333333
21,270414.3333333333
22,480601.6666666667
23,1080875.2534722222
24,270489.3333333333
25,480552.0
26,480464.0
27,270464.0
28,480651.6666666667
29,750835.6666666666
30,656.3333333333334
31,750603.9201388889
32,30501.666666666668
33,480493.3333333333
34,480785.3333333333
35,480568.3333333333
36,480481.0
37,120726.66666666667
38,120639.33333333333
39,480940.0
40,1080953.0
41,30539.0
42,368463.4201388889
43,368375.4201388889
44,270443.6666666667
45,270343.3333333333
46,1080719.0
47,270620.9201388889
48,750827.6666666666
49,480453.9201388889
50,480531.0
51,30873.333333333332
52,750552.0
53,750806.3333333334
54,750798.3333333334
55,750758.5868055555
56,120413.66666666667
57,480902.6666666667
58,120284.66666666667
59,120531.0
60,1080877.3333333333
61,480466.2534722222
62,480856.3333333333
63,30451.666666666668
64,480777.3333333333
65,750670.5868055555
66,120518.0
67,270676.6666666667
68,371.9999999999999
69,480580.6666666667
70,480552.3472222222
71,1081023.3333333333
72,120618.33333333333
73,270639.3333333333
74,1080893.6666666667
75,750668.6666666666
76,30422.333333333332
77,270393.0
78,1080857.0
79,750385.0
80,480729.2534722222
81,270852.0
82,1080923.6666666667
83,120706.33333333333
84,480785.3333333333
85,120393.0
86,270597.6666666667
87,480464.0
88,270773.0
89,480856.3333333333
90,480493.3333333333
91,1080807.0
92,1470835.6666666667
93,120501.66666666667
94,480531.0
95,270735.6666666667
96,270635.3333333333
97,1080933.920138889
98,480581.3333333333
99,480473.0
100,750489.3333333334
101,480531.0
102,371.9999999999999
103,30393.0
104,750619.0
105,270852.0
106,750710.3333333334
107,120501.66666666667
108,120539.0
109,480656.3333333333
110,30284.666666666668
111,750806.3333333334
112,270785.3333333333
113,480631.3333333333
114,30451.666666666668
115,1080689.6666666667
116,1471040.3333333333
117,480647.6666666667
118,270647.6666666667
119,120756.66666666667
120,30284.666666666668
121,1080835.6666666667
122,750856.3333333334
123,480694.0
124,120464.0
125,1080777.0
126,480548.0
127,30568.333333333332
128,270620.9201388889
129,750973.6666666666
130,480610.0
131,750844.0
132,270385.0
133,270472.3333333333
134,270639.3333333333
135,270493.3333333333
136,270714.3333333333
137,480627.0
138,480756.0
139,270710.3333333333
140,480631.3333333333
141,270660.0
142,750777.6666666666
143,270509.6666666667
144,480619.0
145,480668.6666666667
146,270765.0
147,480531.0
148,2430936.0
149,270522.6666666667
150,750687.9201388889
151,750952.3333333334
152,480531.0
153,480668.6666666667
154,480385.0
155,480814.6666666667
156,270568.3333333333
157,1080806.3333333333
158,750796.2534722222
159,120539.0
